product_addr,batch_nft_id,event_id
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,76459
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,72448
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,73405
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,73546
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,71289
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,70491
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,78597
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,71379
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,77708
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,71194
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,69480
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,70748
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,79007
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,69065
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,79201
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,70159
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,68879
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,77334
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,73558
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,73986
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,69159
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,77503
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,72184
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,73794
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,74255
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,71613
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,73396
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,69884
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,77775
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,74652
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,75383
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,72094
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,73709
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,75758
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,70530
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,72890
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,76073
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,77536
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,73026
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,70268
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,69943
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,74505
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,76253
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,70304
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,77648
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,73664
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,73857
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,75971
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,72508
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,71271
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,74423
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,69043
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,74886
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,68793
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,71011
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,74029
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,76736
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,70973
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,68943
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,72523
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,71044
"0x422113E095DD48Ba5C13C73de5D190f87437F576",1,73956
